iter	Passed	Remaining
860	17807	44238
861	17826	44215
862	17846	44192
863	17868	44173
864	17886	44148
865	17907	44127
866	17927	44106
867	17948	44084
868	17968	44064
869	17988	44041
870	18007	44017
871	18028	43995
872	18048	43973
873	18068	43950
874	18087	43927
875	18106	43903
876	18126	43880
877	18146	43858
878	18166	43835
879	18186	43812
880	18205	43787
881	18225	43765
882	18246	43746
883	18267	43725
884	18287	43703
885	18308	43683
886	18329	43664
887	18350	43643
888	18371	43623
889	18390	43600
890	18411	43579
891	18430	43556
892	18452	43538
893	18474	43521
894	18494	43498
895	18515	43478
896	18536	43457
897	18556	43436
898	18575	43412
899	18594	43387
900	18615	43366
901	18634	43342
902	18654	43320
903	18674	43298
904	18694	43276
905	18715	43255
906	18735	43233
907	18754	43210
908	18774	43187
909	18793	43163
910	18813	43141
911	18833	43119
912	18854	43099
913	18874	43077
914	18894	43054
915	18914	43031
916	18934	43010
917	18954	42988
918	18975	42968
919	18995	42946
920	19017	42927
921	19038	42908
922	19057	42885
923	19076	42861
924	19096	42837
925	19116	42815
926	19136	42792
927	19157	42773
928	19176	42748
929	19196	42727
930	19215	42702
931	19235	42680
932	19254	42658
933	19274	42634
934	19295	42614
935	19315	42592
936	19335	42571
937	19357	42552
938	19377	42531
939	19399	42513
940	19418	42489
941	19438	42466
942	19457	42443
943	19477	42420
944	19496	42398
945	19515	42373
946	19536	42352
947	19556	42331
948	19576	42308
949	19595	42284
950	19615	42263
951	19635	42241
952	19656	42221
953	19676	42198
954	19696	42177
955	19717	42157
956	19737	42135
957	19757	42112
958	19776	42090
959	19796	42067
960	19816	42044
961	19835	42021
962	19854	41998
963	19874	41974
964	19893	41951
965	19913	41929
966	19933	41906
967	19953	41885
968	19972	41862
969	19993	41841
970	20011	41816
971	20033	41797
972	20052	41773
973	20072	41752
974	20092	41730
975	20125	41736
976	20154	41731
977	20174	41710
978	20193	41687
979	20214	41667
980	20233	41642
981	20252	41618
982	20271	41595
983	20291	41573
984	20310	41549
985	20330	41526
986	20350	41505
987	20372	41486
988	20392	41464
989	20413	41445
990	20435	41426
991	20455	41405
992	20474	41381
993	20494	41359
994	20515	41340
995	20534	41317
996	20554	41294
997	20574	41272
998	20595	41252
999	20614	41229
1000	20635	41208
1001	20655	41186
1002	20674	41163
1003	20693	41139
1004	20712	41116
1005	20732	41093
1006	20752	41072
1007	20773	41053
1008	20793	41030
1009	20813	41007
1010	20834	40988
1011	20853	40965
1012	20872	40942
1013	20893	40921
1014	20912	40898
1015	20932	40875
1016	20950	40850
1017	20970	40828
1018	20989	40804
1019	21009	40782
1020	21030	40762
1021	21050	40742
1022	21070	40720
1023	21091	40700
1024	21111	40678
1025	21130	40654
1026	21150	40632
1027	21169	40609
1028	21188	40586
1029	21208	40564
1030	21227	40540
1031	21245	40514
1032	21265	40493
1033	21285	40471
1034	21305	40449
1035	21324	40426
1036	21344	40404
1037	21364	40382
1038	21384	40360
1039	21404	40338
1040	21424	40317
1041	21444	40295
1042	21463	40273
1043	21484	40253
1044	21504	40230
1045	21525	40210
1046	21552	40203
1047	21581	40197
1048	21602	40177
1049	21623	40157
1050	21643	40137
1051	21664	40116
1052	21684	40094
1053	21704	40072
1054	21723	40049
1055	21744	40028
1056	21764	40007
1057	21784	39986
1058	21807	39969
1059	21828	39950
1060	21851	39934
1061	21884	39936
1062	21914	39933
1063	21944	39929
1064	21972	39922
1065	21991	39897
1066	22011	39877
1067	22032	39856
1068	22056	39841
1069	22074	39816
1070	22094	39794
1071	22113	39771
1072	22133	39748
