iter	Passed	Remaining
598	11228	45006
599	11244	44979
600	11263	44958
601	11280	44935
602	11298	44912
603	11316	44892
604	11334	44871
605	11352	44848
606	11375	44845
607	11393	44822
608	11409	44795
609	11428	44776
610	11446	44757
611	11464	44735
612	11483	44716
613	11501	44692
614	11518	44667
615	11536	44647
616	11554	44624
617	11571	44599
618	11588	44574
619	11605	44551
620	11624	44530
621	11641	44508
622	11658	44483
623	11677	44464
624	11695	44444
625	11713	44420
626	11731	44398
627	11749	44377
628	11766	44353
629	11783	44329
630	11801	44307
631	11818	44282
632	11836	44261
633	11854	44237
634	11871	44214
635	11889	44192
636	11907	44172
637	11925	44152
638	11944	44134
639	11964	44119
640	11982	44099
641	12000	44076
642	12017	44052
643	12036	44033
644	12054	44011
645	12070	43984
646	12087	43960
647	12105	43937
648	12123	43915
649	12139	43889
650	12157	43867
651	12174	43844
652	12192	43821
653	12209	43797
654	12228	43779
655	12245	43756
656	12263	43735
657	12281	43713
658	12298	43689
659	12317	43670
660	12339	43662
661	12365	43670
662	12382	43647
663	12400	43627
664	12418	43603
665	12436	43582
666	12454	43563
667	12472	43540
668	12489	43518
669	12507	43496
670	12525	43474
671	12542	43450
672	12560	43428
673	12578	43408
674	12595	43386
675	12612	43360
676	12630	43340
677	12649	43322
678	12668	43304
679	12686	43283
680	12703	43260
681	12721	43237
682	12739	43216
683	12756	43194
684	12774	43171
685	12792	43150
686	12809	43126
687	12827	43104
688	12843	43080
689	12862	43060
690	12879	43038
691	12909	43057
692	12928	43038
693	12947	43020
694	12963	42994
695	12982	42975
696	13001	42958
697	13021	42944
698	13042	42935
699	13065	42927
700	13087	42923
701	13109	42915
702	13131	42906
703	13153	42898
704	13174	42888
705	13195	42876
706	13214	42859
707	13232	42836
708	13249	42812
709	13267	42793
710	13285	42771
711	13303	42750
712	13321	42728
713	13338	42706
714	13356	42685
715	13374	42664
716	13391	42641
717	13409	42618
718	13427	42597
719	13444	42574
720	13461	42551
721	13479	42528
722	13496	42505
723	13513	42480
724	13529	42455
725	13547	42432
726	13564	42410
727	13580	42384
728	13598	42363
729	13617	42344
730	13635	42324
731	13654	42305
732	13672	42286
733	13689	42261
734	13706	42238
735	13724	42218
736	13742	42196
737	13760	42175
738	13777	42153
739	13795	42131
740	13813	42111
741	13831	42090
742	13849	42068
743	13867	42049
744	13884	42025
745	13900	41999
746	13919	41981
747	13936	41958
748	13954	41937
749	13972	41916
750	13989	41895
751	14007	41872
752	14025	41853
753	14042	41830
754	14060	41807
755	14077	41785
756	14094	41763
757	14113	41743
758	14130	41722
759	14148	41700
760	14166	41679
761	14183	41656
762	14200	41633
763	14218	41614
764	14240	41603
765	14260	41590
766	14282	41580
767	14301	41564
768	14321	41550
769	14343	41541
770	14360	41517
771	14378	41496
772	14396	41474
773	14415	41457
774	14433	41438
775	14450	41415
776	14467	41392
777	14485	41370
778	14502	41347
779	14520	41326
780	14536	41301
781	14552	41275
782	14571	41256
783	14588	41234
784	14606	41213
785	14623	41190
786	14639	41166
787	14656	41143
788	14675	41124
789	14692	41103
790	14711	41084
791	14728	41062
792	14747	41043
793	14766	41025
794	14784	41007
795	14802	40985
796	14819	40963
797	14837	40941
798	14853	40917
799	14871	40896
800	14889	40876
801	14907	40856
802	14926	40839
803	14947	40826
804	14970	40820
805	14991	40809
806	15012	40797
807	15033	40783
808	15050	40761
809	15070	40745
810	15087	40724
811	15106	40704
812	15123	40683
813	15141	40663
814	15158	40640
815	15176	40619
816	15193	40596
817	15211	40575
818	15229	40555
819	15246	40534
820	15264	40514
821	15281	40491
822	15298	40467
823	15316	40447
824	15333	40423
825	15351	40404
826	15369	40383
827	15387	40363
828	15405	40344
829	15423	40324
830	15441	40303
